    Nr. (ges.)  Nr. (St.)                 Deutscher Titel                     Original­titel Erstaus­strahlung (USA) Deutsch­sprachige Erstaus­strahlung (D)
0          292          1          Schickt die Klone rein           Treehouse of Horror XIII            3. Nov. 2002                           21. Feb. 2004
1          293          2           It’s only Rock’n’Roll   How I Spent My Strummer Vacation           10. Nov. 2002                            6. März 2004
2          294          3                    Klassenkampf  Bart vs. Lisa vs. The Third Grade           17. Nov. 2002                           10. Jan. 2004
3          295          4               Marge – oben ohne                        Large Marge           24. Nov. 2002                           17. Jan. 2004
4          296          5            Der Videobeichtstuhl                     Helter Shelter            1. Dez. 2002                           24. Jan. 2004
5          297          6             Und der Mörder ist…          The Great Louse Detective           15. Dez. 2002                           31. Jan. 2004
6          298          7             Lehrerin des Jahres                       Special Edna            5. Jan. 2003                            7. Feb. 2004
7          299          8  Der Vater, der zu wenig wusste        The Dad Who Knew Too Little           12. Jan. 2003                           14. Feb. 2004
8          300          9      Die starken Arme der Marge              Strong Arms of the Ma            2. Feb. 2003                           28. Feb. 2004
9          301         10               Ein kleines Gebet                      Pray Anything            9. Feb. 2003                           13. März 2004
10         302         11             Bart, das Werbebaby                       Barting Over           16. Feb. 2003                            6. März 2004
11         303         12         Buchstabe für Buchstabe      I’m Spelling as Fast as I Can           16. Feb. 2003                           20. März 2004
12         304         13       Ein Stern wird neugeboren               A Star is Born-Again            2. März 2003                           27. März 2004
13         305         14              Krusty im Kongress      Mr. Spritz Goes to Washington            9. März 2003                           17. Apr. 2004
14         306         15        Mr. Burns wird entlassen                          C.E. D’oh           16. März 2003                             8. Mai 2004
15         307         16          Nacht über Springfield     ’Scuse Me While I Miss the Sky           30. März 2003                            3. Apr. 2004
16         308         17              Homer auf Irrwegen            Three Gays of the Condo           13. Apr. 2003                           24. Apr. 2004
17         309         18           Auf der Familienranch            Dude, Where’s My Ranch?           27. Apr. 2003                            22. Mai 2004
18         310         19      Die Helden von Springfield                   Old Yeller Belly             4. Mai 2003                           10. Apr. 2004
19         311         20         Stresserella über alles              Brake My Wife, Please            11. Mai 2003                            15. Mai 2004
20         312         21              Auf dem Kriegspfad                        Bart of War            18. Mai 2003                           17. Apr. 2004
21         313         22                  Moe Baby Blues                     Moe Baby Blues            18. Mai 2003                            29. Mai 2004
