,Nr. (ges.),Nr. (St.),Deutscher Titel,Original­titel,Erstaus­strahlung (USA),Deutsch­sprachige Erstaus­strahlung (D)
0,442,1,Everyman begins,Homer the Whopper,27. Sep. 2009,7. Sep. 2010
1,443,2,Die Antwort,Bart Gets a 'Z',4. Okt. 2009,14. Sep. 2010
2,444,3,Marge macht mobil,The Great Wife Hope,27. Sep. 2009,21. Sep. 2010
3,445,4,"Mörder, Zombies und Musik",Treehouse of Horror XX,18. Okt. 2009,26. Okt. 2010
4,446,5,Der Teufel trägt Nada,The Devil Wears Nada,15. Nov. 2009,28. Sep. 2010
5,447,6,L wie Looser,Pranks and Greens,22. Nov. 2009,5. Okt. 2010
6,448,7,Die Hexen von Springfield,Rednecks and Broomsticks,29. Nov. 2009,12. Okt. 2010
7,449,8,Lebe lieber unbebrudert,"O Brother, Where Bart Thou?",13. Dez. 2009,19. Okt. 2010
8,450,9,Donnerstags bei Abe,Thursdays with Abie,3. Jan. 2010,2. Nov. 2010
9,451,10,Es war einmal in Springfield,Once Upon a Time in Springfield,10. Jan. 2010,9. Nov. 2010
10,452,11,Million Dollar Homie,Million Dollar Maybe,31. Jan. 2010,16. Nov. 2010
11,453,12,Curling Queen,Boy Meets Curl,14. Feb. 2010,23. Nov. 2010
12,454,13,Die Farbe Gelb,The Color Yellow,21. Feb. 2010,30. Nov. 2010
13,455,14,Grand Theft U-Bahn,Postcards from the Wedge,14. März 2010,8. März 2011
14,456,15,Der gestohlene Kuss,Stealing First Base,21. März 2010,15. März 2011
15,457,16,Simpson und Gomorrha,The Greatest Story Ever D’ohed,28. März 2010,22. März 2011
16,458,17,Jailhouse Blues,American History X-cellent,11. Apr. 2010,29. März 2011
17,459,18,Chief der Herzen,Chief of Hearts,18. Apr. 2010,5. Apr. 2011
18,460,19,Walverwandtschaft,The Squirt and the Whale,25. Apr. 2010,12. Apr. 2011
19,461,20,Nedtropolis,To Surveil With Love,2. Mai 2010,19. Apr. 2011
20,462,21,Der weinende Dritte,Moe Letter Blues,9. Mai 2010,26. Apr. 2011
21,463,22,Bob von nebenan,The Bob Next Door,16. Mai 2010,3. Mai 2011
22,464,23,Richte deinen Nächsten,Judge Me Tender,23. Mai 2010,17. Mai 2011
