,Nr. (ges.),Nr. (St.),Deutscher Titel,Original­titel,Erstaus­strahlung (USA),Deutsch­sprachige Erstaus­strahlung (D)
0,270,1,Hex and the City,Treehouse of Horror XII,6. Nov. 2001,1. März 2003
1,271,2,"Ich bin bei dir, mein Sohn",The Parent Rap,11. Nov. 2001,8. Feb. 2003
2,272,3,Homer und Moe St. Cool,Homer the Moe,18. Nov. 2001,15. Feb. 2003
3,273,4,Gloria – die wahre Liebe,A Hunka Hunka Burns in Love,2. Dez. 2001,22. Feb. 2003
4,274,5,Aus dunklen Zeiten,The Blunder Years,9. Dez. 2001,8. März 2003
5,275,6,Allein ihr fehlt der Glaube,She of Little Faith,16. Dez. 2001,15. März 2003
6,276,7,Familienkrawall – Maggie verhaftet,Brawl in the Family,6. Jan. 2002,22. März 2003
7,277,8,Die süßsaure Marge,Sweets and Sour Marge,20. Jan. 2002,29. März 2003
8,278,9,Sein Kiefer ist verdrahtet,Jaws Wired Shut,27. Jan. 2002,5. Apr. 2003
9,279,10,Ein halbanständiger Antrag,Half-Decent Proposal,10. Feb. 2002,12. Apr. 2003
10,280,11,Nach Kanada der Liebe wegen,The Bart Wants What It Wants,17. Feb. 2002,19. Apr. 2003
11,281,12,Bart und sein Westernheld,The Lastest Gun in the West,24. Feb. 2002,26. Apr. 2003
12,282,13,Abraham und Zelda,The Old Man and the Key,10. März 2002,3. Mai 2003
13,283,14,Drei uralte Geschichten,Tales from the Public Domain,17. März 2002,10. Mai 2003
14,284,15,Das ist alles nur Lisas Schuld,Blame It on Lisa,31. März 2002,17. Mai 2003
15,285,16,Homer einmal ganz woanders,Weekend at Burnsie’s,7. Apr. 2002,24. Mai 2003
16,286,17,Forrest Plump und die Clip Show,Gump Roast,21. Apr. 2002,31. Mai 2003
17,287,18,Der rasende Wüterich,I Am Furious Yellow,28. Apr. 2002,7. Juni 2003
18,288,19,Die Apu und Manjula Krise,The Sweetest Apu,5. Mai 2002,14. Juni 2003
19,289,20,L.S. Meisterin des Doppellebens,Little Girl in the Big Ten,12. Mai 2002,21. Juni 2003
20,290,21,Am Anfang war die Schreiraupe,The Frying Game,19. Mai 2002,28. Juni 2003
21,291,22,Sicherheitsdienst „SpringShield“,Poppa's Got a Brand New Badge,22. Mai 2002,5. Juli 2003
